Headline,Ground_Truth,Zero-shot_Prediction
5 scientific reasons a beach vacation is necessary for your health,Non-Sarcastic,Non-Sarcastic
"dozens of gravestones toppled, broken at philadelphia jewish cemetery",Non-Sarcastic,Non-Sarcastic
tennessee lawmakers want university head to resign for not boosting christmas,Non-Sarcastic,Non-Sarcastic
birthday card for david axelrod circling around afghan war meeting,Sarcastic,Sarcastic
amazing 'human fly' lives off diet of garbage,Sarcastic,Sarcastic
'late night' reimagines 'a christmas carol' suitable for the donald trump era,Non-Sarcastic,Non-Sarcastic
trump orders help for chinese phone-maker after china approves money for trump project,Non-Sarcastic,Non-Sarcastic
frustration with husband taken out on soap scum,Sarcastic,Sarcastic
the director of hbo's new james foley documentary on making a movie about his childhood pal,Non-Sarcastic,Non-Sarcastic
danny elfman on the ups and downs of his relationship with tim burton,Non-Sarcastic,Non-Sarcastic
jeb bush inching podium closer to center of stage during commercial breaks,Sarcastic,Sarcastic
8-year-old can already tell image of dad puking stuck in memory forever,Sarcastic,Sarcastic
family concerned after aging tv show has another terrible episode,Sarcastic,Sarcastic
experts warn climate change will increase incidences of stepping into puddle and getting whole goddamn foot soaking wet,Sarcastic,Sarcastic
"romney delivers stern warning to china, speaking directly into the camera in fluent mandarin",Sarcastic,Sarcastic
middle-aged man having best snacks of his life,Sarcastic,Sarcastic
kim jong-un's absence leaves north korean government officials no one to agree with,Sarcastic,Sarcastic
how clinton donor got on sensitive intelligence board,Non-Sarcastic,Non-Sarcastic
"man dies after telling police who chased him 'i can't breathe,' sources say",Non-Sarcastic,Non-Sarcastic
newly deployed soldier has dreamed of fighting in afghan war since he was little kid,Sarcastic,Sarcastic
study: pretending everything's okay works,Sarcastic,Sarcastic
illustrators depict the everyday items giving hope to child refugees,Non-Sarcastic,Non-Sarcastic
"black, male, mad as hell",Non-Sarcastic,Non-Sarcastic
taylor swift wins video of the year for 'bad blood' at 2015 vmas,Non-Sarcastic,Non-Sarcastic
an open letter to president trump on anti-semitism,Non-Sarcastic,Non-Sarcastic
let this daft captain convince you to take a boat instead of a plane,Non-Sarcastic,Non-Sarcastic
black lives matter protest moves from mall of america to airport,Non-Sarcastic,Non-Sarcastic
kerry captures bin laden one week too late,Sarcastic,Sarcastic
dad tests limits of cheesecake factory vibrating pager,Sarcastic,Sarcastic
"dear chuck todd, please don't enable liars",Non-Sarcastic,Non-Sarcastic
latest fbi news doesn't stop republicans from attacking clinton on emails,Non-Sarcastic,Non-Sarcastic
some leaders are born women,Non-Sarcastic,Non-Sarcastic
the wealthiest have a private tax system that saves them billions,Non-Sarcastic,Non-Sarcastic
nation breathes sigh of continuing unease,Sarcastic,Sarcastic
the unwinnable afghanistan war,Non-Sarcastic,Non-Sarcastic
the midtown men tell it like it is... was... will be (part i),Non-Sarcastic,Non-Sarcastic
argentinian tv station trolls donald trump,Non-Sarcastic,Non-Sarcastic
gillian jacobs on what it's like to kiss adam brody,Non-Sarcastic,Non-Sarcastic
24 ways working from home will destroy your soul,Non-Sarcastic,Sarcastic
biden chokes up while describing hardworking americans who can only afford shitty ditch weed,Sarcastic,Sarcastic
office politician runs for coffee,Sarcastic,Sarcastic
'night of a thousand judys' is a pride month event you shouldn't miss,Non-Sarcastic,Non-Sarcastic
encyclopedic knowledge not so handsomely bound,Sarcastic,Sarcastic
professor pressured to sleep with student for good course evaluation,Sarcastic,Sarcastic
twitterverse trolls iphone x's new security feature with arya stark jokes,Non-Sarcastic,Non-Sarcastic
paula broadwell crashing on petraeus family's couch until sex scandal blows over,Sarcastic,Sarcastic
annoying ad turns man pro-whaling,Sarcastic,Sarcastic
nobody at capital one can remember why it put vikings in its ads,Sarcastic,Sarcastic
area man accidentally responds to own 'm4m' ad,Sarcastic,Sarcastic
moderator asks candidates to be specific when describing hellscape country will become if they not elected,Sarcastic,Sarcastic
secret police enforce mourning of deng xiaoping,Sarcastic,Sarcastic
polish rapper under fire for use of the word 'polack',Sarcastic,Non-Sarcastic
man at amusement park gets right back in line for another funnel cake,Sarcastic,Sarcastic
trump tells iowa dairy farmers he has cows 500 times bigger than theirs,Sarcastic,Sarcastic
new hobby to tide retired man over until death,Sarcastic,Sarcastic
william h. macy has ultimate dad moment dancing with his daughter before prom,Non-Sarcastic,Non-Sarcastic
will ferrell is really pumped about the usa-germany game,Non-Sarcastic,Non-Sarcastic
how good do you want to be?,Non-Sarcastic,Non-Sarcastic
starbucks offering new lukewarm coffee to help ease customers' transition from iced to hot,Sarcastic,Sarcastic
trump's trojan horse tax cut,Non-Sarcastic,Non-Sarcastic
half of the amazon's tree species are threatened,Non-Sarcastic,Non-Sarcastic
someone filming b-roll at pike place market right now,Sarcastic,Sarcastic
everyone in sporting goods store looking for something to get on stepson's good side,Sarcastic,Sarcastic
trump's whole approach to health care boiled down to one tweet,Non-Sarcastic,Non-Sarcastic
first 'justice league' trailer will make you forget all about 'batman v superman',Non-Sarcastic,Non-Sarcastic
the 10 best cities for college grads in 2015,Non-Sarcastic,Non-Sarcastic
thousands dead in indonesia again,Sarcastic,Sarcastic
a radical post-bernie cooperative multicultural immigrant manifesto,Non-Sarcastic,Non-Sarcastic
college residence office gets kick out of pairing up few roommates who will fucking hate each other,Sarcastic,Sarcastic
how to save money fast: 10 habits that can fund your dreams,Non-Sarcastic,Non-Sarcastic
monopoly releases special 'regular monopoly' edition,Sarcastic,Sarcastic
report: some russian soldiers quit army over ukraine war,Non-Sarcastic,Non-Sarcastic
jared kushner went to iraq and couldn't have looked more out of place,Non-Sarcastic,Non-Sarcastic
300 naked women feared lost in computer crash,Sarcastic,Sarcastic
marco rubio knows exactly what he's doing,Non-Sarcastic,Non-Sarcastic
"rachel mcadams and taylor kitsch might be dating, but who really knows?",Non-Sarcastic,Non-Sarcastic
reese witherspoon's star-studded birthday bash is giving us major fomo,Non-Sarcastic,Non-Sarcastic
are you living your divorce or living your life?,Non-Sarcastic,Non-Sarcastic
scott pruitt tosses another pvc tube on campfire,Sarcastic,Sarcastic
god legally changes name to jake steele,Sarcastic,Sarcastic
california to allow prisoners to serve sentences online,Sarcastic,Sarcastic
overworked nation wishes it could just unplug from it all like puerto rico,Sarcastic,Sarcastic
sarah silverman talks to her younger self in 'snl' monologue,Non-Sarcastic,Non-Sarcastic
homemade 'die hard' scene will have you saying 'yippee ki yay',Non-Sarcastic,Non-Sarcastic
thewrap sparks change to california law protecting digital media,Non-Sarcastic,Non-Sarcastic
deadlocked supreme court: 'someone's voting twice',Sarcastic,Sarcastic
"fourth-grader's world war ii project vastly oversimplifies importance of air combat, uncle reports",Sarcastic,Sarcastic
women reveal the real purpose of workout clothes,Non-Sarcastic,Non-Sarcastic
fred thompson fears presidential run will typecast him as politician,Sarcastic,Sarcastic
anthony kennedy's citizens united disclosure salve 'not working',Non-Sarcastic,Non-Sarcastic
illegal activity moved 32 feet from shore,Sarcastic,Sarcastic
new tech-support caste arises in india,Sarcastic,Sarcastic
here's why immigration advocates are pressing so hard for executive action,Non-Sarcastic,Non-Sarcastic
obese doctors urge nation to eat three meals a meal,Sarcastic,Sarcastic
a century later the same old thrill,Non-Sarcastic,Non-Sarcastic
mcdonald's introduces mccrazy burger,Sarcastic,Sarcastic
televisa host says network pressured her to say on-air sexual harassment was a hoax,Non-Sarcastic,Non-Sarcastic
amazon admits alexa device eavesdropped on portland family,Non-Sarcastic,Non-Sarcastic
area ladder never thought it would end up a bookcase,Sarcastic,Sarcastic
this mom breastfed in the snow 'like a boss',Non-Sarcastic,Non-Sarcastic
lazy wildlife rescuer lets oily pelicans pile up in sink for 5 days,Sarcastic,Sarcastic
cooking off the cuff: bluefish in saor – a new york take on a venetian favorite,Non-Sarcastic,Non-Sarcastic
the u.s. military can't get out (no matter the country or the conflict),Non-Sarcastic,Non-Sarcastic
land rights for women mean progress for communities,Non-Sarcastic,Non-Sarcastic
tape dispensed,Sarcastic,Sarcastic
al-qaeda sitcom filmed before live studio hostages,Sarcastic,Sarcastic
these gay dads prove you're never too old to start your own beautiful family,Non-Sarcastic,Non-Sarcastic
a queer woman embarks on unusual quest for acceptance in new film,Non-Sarcastic,Non-Sarcastic
states trying to defund planned parenthood may be breaking federal law,Non-Sarcastic,Non-Sarcastic
the toy aisle is almost too much for this boy to handle,Non-Sarcastic,Non-Sarcastic
"guy moonwalks through 27 european landmarks, because why not?",Non-Sarcastic,Non-Sarcastic
suitcase spends all year looking forward to carousel ride,Sarcastic,Sarcastic
world war ii documentary suffused with anti-nazi undertones,Sarcastic,Sarcastic
thousands are flocking to washington this weekend to demand climate action,Non-Sarcastic,Non-Sarcastic
the gentrification of higher ed,Non-Sarcastic,Non-Sarcastic
astronomers celebrate 300th anniversary of discovering sky,Sarcastic,Sarcastic
sheryl crow unsuccessful; war on iraq begins,Sarcastic,Sarcastic
"ugh, this a place where bartenders wear bow tie",Sarcastic,Sarcastic
"receptionist takes leave of absence citing dehydration, exhaustion",Sarcastic,Sarcastic
headline with words 'hiv baby' in it somehow turns out okay,Sarcastic,Non-Sarcastic
how pakistan's unregulated madrassa system sows religious strife,Non-Sarcastic,Non-Sarcastic
woman's parents accepting of mixed-attractiveness relationship,Sarcastic,Sarcastic
panicked malcolm gladwell realizes latest theory foretells end of his popularity,Sarcastic,Sarcastic
area woman's baseless hatred of anne hathaway reciprocated,Sarcastic,Sarcastic
'the big dark': series of storms stretching from china to u.s. batters northwest,Non-Sarcastic,Non-Sarcastic
ducks only interested in man's bread,Sarcastic,Sarcastic
classmates.com employees don't have heart to tell ceo about facebook,Sarcastic,Sarcastic
the health care fight is driving more democrats to run for office,Non-Sarcastic,Non-Sarcastic
"j.f.k. high cougars to go, fight, win",Sarcastic,Sarcastic
donna brazile says hillary rodham clinton high palace of the solar order was almost like a cult,Sarcastic,Sarcastic
van morrison removed from rock and roll hall of fame following allegations he bet on album sales,Sarcastic,Sarcastic
obese man impaled in wicker-chair disaster,Sarcastic,Sarcastic
#talktome: lucas braga and otaviano canuto,Non-Sarcastic,Non-Sarcastic
saddam hussein freed on technicality,Sarcastic,Sarcastic
the scream poster stolen from area dorm room,Sarcastic,Sarcastic
5th-grade teacher can already tell kids about to go apeshit for ending of 'the giver',Sarcastic,Sarcastic
reasons we drink heavily on thanksgiving,Non-Sarcastic,Sarcastic
"maya angelou, poet, author, civil rights activist, and—holy cow—tony award–nominated actress, college professor, magazine editor, streetcar conductor—really? streetcar conductor? wow—calypso singer, nightclub performer, and foreign journalist, dead at 86",Sarcastic,Non-Sarcastic
personal life a total waste of time,Sarcastic,Sarcastic
what's it like waiting for donald trump to take office? a career federal employee spills the beans,Non-Sarcastic,Non-Sarcastic
11% of lunch eaten off sweatshirt,Sarcastic,Sarcastic
fda to increase recommended dosage of acetaminophen for children who can handle their shit,Sarcastic,Sarcastic
meet your 2014 hot dog hero,Non-Sarcastic,Non-Sarcastic
ravens take out rival steelers in playoff grudge match,Non-Sarcastic,Non-Sarcastic
shrinking majority of americans supports marijuana legalization,Non-Sarcastic,Non-Sarcastic
quaker oats assembly-line worker fired for 'oops! all berries' incident,Sarcastic,Sarcastic
21 things every pug lover desperately needs in their home,Non-Sarcastic,Non-Sarcastic
seventh-graders still undecided on disparaging name for mr. hyslop,Sarcastic,Sarcastic
13 #ridiculousexcusestostayhome -- boomer-style,Non-Sarcastic,Non-Sarcastic
marco rubio decides to run for senate again,Non-Sarcastic,Non-Sarcastic
"mother on trial for hitting, pinching toddler during long flight",Non-Sarcastic,Non-Sarcastic
"after planned parenthood shooting, another american community mourns",Non-Sarcastic,Non-Sarcastic
ll cool j struggles to come up with way to brag about being in rollerball,Sarcastic,Sarcastic
area woman to celebrate quiet women's history month at home this year,Sarcastic,Sarcastic
man has no idea what to do with good mood,Sarcastic,Sarcastic
this teen's trying to make the road safer years before she even starts driving,Non-Sarcastic,Non-Sarcastic
newspaper starting to worry spending so much time on facebook not healthy for it,Sarcastic,Sarcastic
"donald trump finally attacks ted cruz, referencing his cuban heritage",Non-Sarcastic,Non-Sarcastic
pope died as he lived: propped up for public viewing,Sarcastic,Sarcastic
"u.s. forces enter syrian town, then withdraw, rebel and monitor groups say",Non-Sarcastic,Non-Sarcastic
report: sharks to only kill 10 people this year but one of them will be you,Sarcastic,Sarcastic
what you should know about the parents who leave kids in hot cars,Non-Sarcastic,Non-Sarcastic
dateline nbc report inspired by actual events,Sarcastic,Sarcastic
police satisfied after drunk man assures them there's no problem,Sarcastic,Sarcastic
kristina reveals how she's dealing with dean after 'bachelor in paradise',Non-Sarcastic,Non-Sarcastic
want to be ready for retirement? lower your expectations,Non-Sarcastic,Sarcastic
bergdahl to face court martial for desertion,Non-Sarcastic,Non-Sarcastic
endangered species list edited to fit poster,Sarcastic,Sarcastic
netflix gently reminds 'arrested development' fans that new episodes of the show won't actually solve world's problems,Sarcastic,Sarcastic
second hour in fabric store nearly kills eight-year-old,Sarcastic,Sarcastic
robots speak out against asimov's first law of robotics,Sarcastic,Sarcastic
ramen master defeated by new kung-pao style,Sarcastic,Sarcastic
how everyone with a smartphone can feed a hungry child,Non-Sarcastic,Non-Sarcastic
reporter hailed a 'patriot' for defying white house by live-streaming press briefing,Non-Sarcastic,Non-Sarcastic
melania trump looks down on husband from gallery with loving grimace,Sarcastic,Sarcastic
father of parkland victim creates powerful mural honoring son and 16 others killed,Non-Sarcastic,Non-Sarcastic
lionel richie explains why he decided to adopt his daughter nicole,Non-Sarcastic,Non-Sarcastic
death and mourning on the easter holiday,Non-Sarcastic,Non-Sarcastic
lena dunham defends 'girls' writer accused of raping 17-year-old,Non-Sarcastic,Non-Sarcastic
mom really funny today,Sarcastic,Sarcastic
u.s. life expectancy falls as more people die from illnesses,Non-Sarcastic,Non-Sarcastic
t.j. maxx job application just asks prospective employees how much they plan to  shoplift,Sarcastic,Sarcastic
life-changing epiphany wears off on ride home,Sarcastic,Sarcastic
stephen curry thinks the warriors will lose before the panthers,Non-Sarcastic,Non-Sarcastic
almost no effort made to stop kid from eating cigarette butt,Sarcastic,Sarcastic
how to clean out your closet: what to ditch and what to keep,Non-Sarcastic,Non-Sarcastic
prison teaches beekeeping to inmates and it's all the buzz,Non-Sarcastic,Non-Sarcastic
twitter reminds alec baldwin at least he has a job for next 4 years,Non-Sarcastic,Non-Sarcastic
report finds more americans putting off children until companies are ready,Sarcastic,Sarcastic
historical archives: immoral woodcut discovered in hay loft,Sarcastic,Sarcastic
"abortion issue 'most critical of our time,' say tobacco-industry executives",Sarcastic,Sarcastic
watch this little girl age 80 years right before your eyes,Non-Sarcastic,Non-Sarcastic
friday talking points -- don't panic,Non-Sarcastic,Non-Sarcastic
all of the wacky and wonderful royal wedding memorabilia you can buy,Non-Sarcastic,Non-Sarcastic
josh ritter and the 'storm' surrounding his new music,Non-Sarcastic,Non-Sarcastic
senate bill may answer a decades-old request,Non-Sarcastic,Non-Sarcastic
new 'time' to keep everything from happening at once,Sarcastic,Sarcastic
ob-gyn kind of annoyed she has to confirm woman's premonition about sex of baby that came to her in dream,Sarcastic,Sarcastic
flash-animated osama bin laden captured,Sarcastic,Sarcastic
captain kirk's life flashes before dying trekkie's eyes,Sarcastic,Sarcastic
'moana' comes out on top at the box office for third consecutive weekend,Non-Sarcastic,Non-Sarcastic
mute teen fulfills his dream of becoming a rapper despite not having a jaw,Non-Sarcastic,Sarcastic
proof you shouldn't blame teachers for the achievement gap,Non-Sarcastic,Non-Sarcastic
4-year-old shows new doll the ropes,Sarcastic,Sarcastic
stop sign taking forever to change,Sarcastic,Sarcastic
teacher seniority: the seat belts of the education profession,Non-Sarcastic,Non-Sarcastic
kfc ads get even weirder with norm macdonald as 'real' col. sanders,Non-Sarcastic,Non-Sarcastic
i'm bi. it took me 21 years to come out of the closet and say it.,Non-Sarcastic,Non-Sarcastic
france to ban cell phones in lower grades,Non-Sarcastic,Non-Sarcastic
these teens wanted a cool work space of their own -- so they built one from scratch,Non-Sarcastic,Non-Sarcastic
70-year-old woman decides it time to start dressing entirely in purple,Sarcastic,Sarcastic
historical archives: last month's weather,Sarcastic,Sarcastic
eric swalwell wins re-election bid,Non-Sarcastic,Non-Sarcastic
secretary of education given something to do,Sarcastic,Sarcastic
el chapecoense y el piloto boliviano.,Non-Sarcastic,Non-Sarcastic
40-year-old has spiky hair,Sarcastic,Sarcastic
therapist beginning to show cracks in caring façade,Sarcastic,Sarcastic
report: vulgaria may possess flying-car technology,Sarcastic,Sarcastic
"fighting pests with sounds waves, not pesticides",Non-Sarcastic,Non-Sarcastic
why democrats would be smart to let donald trump put peter thiel on the supreme court,Non-Sarcastic,Non-Sarcastic
"audra mcdonald, kirsten gillibrand to celebrate the lgbtq community in nyc",Non-Sarcastic,Non-Sarcastic
talking to our children about capital controls,Non-Sarcastic,Non-Sarcastic
bike helmet protects child from helmet-inspired beating,Sarcastic,Sarcastic
adopting? proceed reverently,Non-Sarcastic,Non-Sarcastic
peter dinklage meets the world's worst 'game of thrones' fan in 'saturday night live' promo,Non-Sarcastic,Non-Sarcastic
"munich shooter planned attacks for a year, german authorities say",Non-Sarcastic,Non-Sarcastic
"no, the queen isn't being shady about meghan markle and prince harry's wedding",Non-Sarcastic,Non-Sarcastic
creating leverage where none seems to exist,Non-Sarcastic,Non-Sarcastic
"huffpost expands its reporting, video and audio teams with latest round of new hires",Non-Sarcastic,Non-Sarcastic
jews on judaism -- unfiltered: all together podcast,Non-Sarcastic,Non-Sarcastic
huffpost rise: what you need to know on march 2,Non-Sarcastic,Non-Sarcastic
will trump fire rosenstein? it may not matter.,Non-Sarcastic,Non-Sarcastic
paranormal expert bores son with ghost story,Sarcastic,Sarcastic
new pepsi product specifically mentions target demographic in name,Sarcastic,Sarcastic
congress approves $40 million to fight teens,Sarcastic,Sarcastic
excited african safari tourists quietly marvel as poacher stalks prey,Sarcastic,Sarcastic
senate's proposed 2016 budget turns a deaf ear to the needs of young families,Non-Sarcastic,Non-Sarcastic
man spends whole day dreading fun activity he signed up for,Sarcastic,Sarcastic
they're coming!,Non-Sarcastic,Sarcastic
scrabble come-on only worth four points,Sarcastic,Sarcastic
death row inmate can't deny he curious to see how state pulls off lethal injection,Sarcastic,Sarcastic
subconscious can't wait to turn offhand remark from boss into dream about drowning horse,Sarcastic,Sarcastic
man nods knowingly at mechanic,Sarcastic,Sarcastic
study: 90% of plane landings just barely pulled off,Sarcastic,Sarcastic
the top 10 wedding planning myths,Non-Sarcastic,Non-Sarcastic
alpha-bits now available in serif font,Sarcastic,Sarcastic
outkast universally accepted,Sarcastic,Sarcastic
british singer and tv host cilla black dies at 72,Non-Sarcastic,Non-Sarcastic
"bernie sanders draws more than 20,000 people at boston rally",Non-Sarcastic,Non-Sarcastic
hope hicks praying she not still in same shitty job by time she hits 30,Sarcastic,Sarcastic
that cheesecake sitting on the table: what if it accidentally fell into your mouth?,Sarcastic,Sarcastic
new 'dumb and dumber to' clip shows a very special celeb cameo,Non-Sarcastic,Non-Sarcastic
we're spending less on health care than we thought we would before obamacare,Non-Sarcastic,Non-Sarcastic
a price on carbon is neither liberal nor conservative. it's just practical,Non-Sarcastic,Non-Sarcastic
whoopi goldberg and jimmy fallon keep it weird,Non-Sarcastic,Non-Sarcastic
because every woman wants a man that smells like work boots!,Non-Sarcastic,Sarcastic
nfl team spends days hiding 'fresh prince of bel-air' lyrics in cryptic tweets,Non-Sarcastic,Sarcastic
bush followed everywhere by line of baby ducks,Sarcastic,Sarcastic
leftover christmas billboard stirs seasonally inappropriate emotion,Sarcastic,Sarcastic
detective trying to get into mind of litterer,Sarcastic,Sarcastic
meeting logs: obama quietly coddling big oil on 'bomb trains' regulations,Non-Sarcastic,Non-Sarcastic
sacred sites,Non-Sarcastic,Non-Sarcastic
'orcs of new york' is the 'hony' parody even sauron would adore,Non-Sarcastic,Sarcastic
chrissy teigen casually pays off woman's beauty school tuition,Non-Sarcastic,Non-Sarcastic
"tilda swinton isn't in this clip from 'a bigger splash,' but watch it anyway",Non-Sarcastic,Non-Sarcastic
woman who claims book changed her life has not changed,Sarcastic,Sarcastic
family relieved to hear good grandma didn't die,Sarcastic,Sarcastic
new york attorney general conducting 'inquiry' into trump foundation,Non-Sarcastic,Non-Sarcastic
donald trump's obsession with the polls has made it rough for some pollsters,Non-Sarcastic,Non-Sarcastic
stephen colbert let deray mckesson interview him about his whiteness,Non-Sarcastic,Non-Sarcastic
justice stevens renews vows to supreme court in emotional reconfirmation hearing,Sarcastic,Sarcastic
why traveling is the smartest way to spend your tax refund,Non-Sarcastic,Non-Sarcastic
a christmas message to vice president mike pence,Non-Sarcastic,Non-Sarcastic
theory versus truth,Non-Sarcastic,Non-Sarcastic
the final showdown on 'repeal and replace' obamacare: what to watch for this week,Non-Sarcastic,Non-Sarcastic
"trump tells 57,000 honduran immigrants to leave or risk deportation",Non-Sarcastic,Non-Sarcastic
to wax or not to wax?,Non-Sarcastic,Non-Sarcastic
man's facebook status given book deal,Sarcastic,Sarcastic
savings passed on to local woman,Sarcastic,Sarcastic
the truth behind my travel photos,Non-Sarcastic,Non-Sarcastic
send your kids back to school with confidence,Non-Sarcastic,Non-Sarcastic
the return to basics in education. did we ever leave?,Non-Sarcastic,Non-Sarcastic
inside: the fetish photography of german chancellor helmut kohl,Sarcastic,Sarcastic
"critiquing democratic responses to the 2016 election- part i, the problem lies with working class voters themselves",Non-Sarcastic,Non-Sarcastic
4 mindset shifts you can make so you never have to diet again,Non-Sarcastic,Non-Sarcastic
scott pruitt nervously picks up walking pace as hundreds of whooping cranes begin silently perching around him,Sarcastic,Sarcastic
naomi watts and liev schreiber hit the emmys red carpet,Non-Sarcastic,Non-Sarcastic
photo of meghan markle's dad could offer a big clue about the royal wedding,Non-Sarcastic,Non-Sarcastic
'alone in the game' shows biggest hurdles for lgbtq athletes exist off the field,Non-Sarcastic,Non-Sarcastic
mountain west and plains best places to retire in u.s.,Non-Sarcastic,Non-Sarcastic
how have fame and fortune shaped the business of being an artist?,Non-Sarcastic,Non-Sarcastic
tv shows from your childhood that were super overrated,Non-Sarcastic,Non-Sarcastic
new ebola quarantine protocol seen as barrier to volunteers,Non-Sarcastic,Non-Sarcastic
hbo's new streaming service is now live,Non-Sarcastic,Non-Sarcastic
"mccain stares at screen, attempts to write family christmas letter",Sarcastic,Sarcastic
democrats demand that devos explain how she is going to protect trans students,Non-Sarcastic,Non-Sarcastic
dad busy throwing seeds or something on lawn,Sarcastic,Sarcastic
man accused of urinating on cop after yelling 'f*** trump',Non-Sarcastic,Non-Sarcastic
hanukkah decorations being defaced earlier every year,Sarcastic,Sarcastic
nobody knows what will happen if donald trump doesn't win a delegate majority,Non-Sarcastic,Non-Sarcastic
clay aiken gained 30 pounds eating bojangles chicken during his campaign,Non-Sarcastic,Non-Sarcastic
gop leaders celebrate passing point of no return,Sarcastic,Sarcastic
partygoer gets thoughtful,Sarcastic,Sarcastic
the day she let her son wait in the car,Non-Sarcastic,Non-Sarcastic
old friends from high school meet up every year to say names of former classmates,Sarcastic,Sarcastic
area man got so wasted and abusive last night,Sarcastic,Sarcastic
supernatural powers vested in local pastor,Sarcastic,Sarcastic
company lacks manpower to complete newest round of layoffs,Sarcastic,Sarcastic
seth rogen says he smoked weed in steven spielberg's face,Non-Sarcastic,Non-Sarcastic
emboldened republicans in kentucky push 20-week abortion ban,Non-Sarcastic,Non-Sarcastic
"22-year-old broke, homeless 10 days after taking control of own finances",Sarcastic,Sarcastic
burglar hiding in pistorius' bathroom figures now probably his best chance to escape,Sarcastic,Sarcastic
"report: adjectives 'tony,' 'snarky' used only by media",Sarcastic,Sarcastic
report: election may come down to single candidate,Sarcastic,Sarcastic
civilian 'guard' fires gun while 'protecting' recruiting center,Non-Sarcastic,Non-Sarcastic
scarlett johansson immediately rejects heartwarming prom invite from high school student,Sarcastic,Non-Sarcastic
australian forced to flee homeland to sell his microwave omelet cooker,Sarcastic,Sarcastic
patriotic betrayal in the 1960s -- when the cia turned students into spies,Non-Sarcastic,Non-Sarcastic
senate intelligence committee confirms from testimony that donald trump jr. has no knowledge,Sarcastic,Sarcastic
landlord not convinced heat isn't working,Sarcastic,Sarcastic
ashcroft loses job to mexican,Sarcastic,Sarcastic
chrissy teigen has 2 words for hater who insinuated she's a gold digger,Non-Sarcastic,Non-Sarcastic
new spiritually correct doll lets children show where and how jesus touched them,Sarcastic,Sarcastic
john legend responds to wgn america's 'underground' cancellation,Non-Sarcastic,Non-Sarcastic
you'll never believe what these wedding dresses are made of,Non-Sarcastic,Non-Sarcastic
"spring must-haves for cool, curvy girls",Non-Sarcastic,Non-Sarcastic
this tiny florida island village is pulling together in irma's aftermath,Non-Sarcastic,Non-Sarcastic
it's time for congress to join the fight against food waste,Non-Sarcastic,Non-Sarcastic
this 'jaws' analogy did not end well for mike huckabee,Non-Sarcastic,Non-Sarcastic
u.s. foreign policy: react to fear or lead with love?,Non-Sarcastic,Non-Sarcastic
person one season ahead in tv show doling out counsel like wise elder,Sarcastic,Sarcastic
samuel adams apologizes for 'boston sucks' pilsner,Sarcastic,Sarcastic
"teen blinded in one eye, but 'lucky to be alive' after duct tape challenge",Non-Sarcastic,Non-Sarcastic
cash-strapped trump forced to replace eric trump with cheap migrant son,Sarcastic,Sarcastic
ünited stätes toughens image with umlauts,Sarcastic,Sarcastic
outback steakhouse at the center of bizarre conspiracy theory,Non-Sarcastic,Non-Sarcastic
11 artists you should pay attention to next year,Non-Sarcastic,Non-Sarcastic
"dave chappelle donates $50,000 from michigan show to flint foundation",Non-Sarcastic,Non-Sarcastic
dixieland band evicted,Sarcastic,Sarcastic
religious freedom in practicing the platinum rule,Non-Sarcastic,Non-Sarcastic
nation's boyfriends dreading 'free event in the park' season,Sarcastic,Sarcastic
mom gets last new hairstyle,Sarcastic,Sarcastic
single-engine cessna crashes into bush,Sarcastic,Sarcastic
leah remini claims she was pressured to bring kevin james into scientology,Non-Sarcastic,Non-Sarcastic
8 reasons to travel this year,Non-Sarcastic,Non-Sarcastic
what your movements may reveal about how you'll get along with another person,Non-Sarcastic,Non-Sarcastic
technophile has coolest junk drawer ever,Sarcastic,Sarcastic
two hipsters angrily call each other 'hipster',Sarcastic,Sarcastic
"admit it, trump supporters, you got duped",Non-Sarcastic,Non-Sarcastic
grandma hangs on to spend one last christmas with nursing home staff,Sarcastic,Sarcastic
scott walker does a number on his job numbers,Non-Sarcastic,Non-Sarcastic
ben carson has a weirdly specific vision of how 'the purge' could turn real,Non-Sarcastic,Sarcastic
o'casey's plays return to stage at philly irish theater,Non-Sarcastic,Non-Sarcastic
gmail user pities hotmail user,Sarcastic,Sarcastic
fox news stars at the gop convention really don't want to talk about roger ailes,Non-Sarcastic,Non-Sarcastic
i live in greece,Non-Sarcastic,Non-Sarcastic
'yogi bear' movie introduces boring cartoon character to new generation,Sarcastic,Sarcastic
who owns the keys to your apple device? (hint: it may not be you),Non-Sarcastic,Non-Sarcastic
"i still stumble over the question, how many children do you have?",Non-Sarcastic,Non-Sarcastic
'gender creative' is not the new 'hipster',Non-Sarcastic,Non-Sarcastic
working-class whites still have it a whole lot better than their black counterparts,Non-Sarcastic,Non-Sarcastic
"'i'll make those bastards pay,' teary-eyed mueller whispers into locket containing photo of james comey",Sarcastic,Sarcastic
trump's fbi attacks are helping accused terrorists defend themselves in court,Non-Sarcastic,Non-Sarcastic
how i navigated my first 7 years of sobriety,Non-Sarcastic,Non-Sarcastic
toby keith struggling to come up with rhyme for ahmadinejad,Sarcastic,Sarcastic
"mexico expects nafta talks by late august, economy minister says",Non-Sarcastic,Non-Sarcastic
"russian foreign minister meets with tillerson, denies interfering",Non-Sarcastic,Non-Sarcastic
warden figures week in solitary ought to teach inmate not to be schizophrenic,Sarcastic,Sarcastic
cow worried it will never live up to father's usda rating,Sarcastic,Sarcastic
