"id","statement_full","statement_strip","statement_noise_p25","statement_noise_p50","statement_noise_p75","target","source","text_origin"
"263","Wàá ṣe bí ọkùnrin kí ìwọ náà tó lè jẹ́ ènìyàn pàtàkì, wá tiraka láti jẹ́ ẹni tí àwọn ènìyàn ń wárí fún un.","Waa se bi okunrin ki iwo naa to le je eniyan pataki, wa tiraka lati je eni ti awon eniyan n wari fun un.","Wàá ṣe bí ọkùnrin kí ìwọ náà to lè jẹ́ èniyàn pàtàkì, wá tiraka láti jẹ́ eni tí àwọn ènìyàn n wárí fún un.","Waa ṣe bí okunrin ki iwo náa tó le jẹ ènìyan pàtàki, wá tiraka lati jé ẹni ti àwon ènìyan n wári fun un.","Wàá ṣe bi okunrin ki ìwo naà to le jé eniyan pàtaki, wa tiraka láti jẹ eni ti awon eniyan n wari fun un.","non-sarcastic","X","original"
"264","Àrà gbé láyé túmọ̀ sí wípé, wọ́n máa ń ra ayé gbé ní.","Ara gbe laye tumo si wipe, won maa n ra aye gbe ni.","Àrà gbé laye túmọ̀ si wípe, wọ́n máa ń ra ayé gbé ní.","Ara gbe láye túmọ si wipe, wón maa ń ra aye gbe ní.","Ara gbe laye tumo si wipe, won máa n ra aye gbe ní.","non-sarcastic","X","original"
"265","Ọlọ́pàá bá òkú ọmọ Nàìjíríà tí wọ́n gún pa sínú ilé ní ó ku ọ̀sẹ̀ méjì tó máa parí ìkẹ́kọ̀ọ́ nọ́ọ̀sì ní US","Olopaa ba oku omo Naijiria ti won gun pa sinu ile ni o ku ose meji to maa pari ikekoo noosi ni US","Ọlọ́paa bá òku ọmọ Nàìjírià tí wọ́n gún pa sínu ilé ní ó ku òsẹ̀ méji tó máa parí ìkẹ́kọ̀ọ́ noọsì ni US","Olopaa bá òku omo Nàìjírià ti won gún pa sínu ile ní o ku osẹ meji to máa parí ikẹ́kọo nọọsì ni US","Olópaa ba oku omo Naìjirià ti won gun pa sinu ile ní o ku ose méji to maa pari ikekọó noòsi ni US","non-sarcastic","BBC News","original"
"266","To ba ya won ma sope won ko ri alanu, bawo ni eniyan mase dagba lai ni opolo bio ti wun ko kere mo, won ko ma wuwa ti o ma se idina fun elomiran lati je anfaani","To ba ya won ma sope won ko ri alanu, bawo ni eniyan mase dagba lai ni opolo bio ti wun ko kere mo, won ko ma wuwa ti o ma se idina fun elomiran lati je anfaani","To ba ya won ma sope won ko ri alanu, bawo ni eniyan mase dagba lai ni opolo bio ti wun ko kere mo, won ko ma wuwa ti o ma se idina fun elomiran lati je anfaani","To ba ya won ma sope won ko ri alanu, bawo ni eniyan mase dagba lai ni opolo bio ti wun ko kere mo, won ko ma wuwa ti o ma se idina fun elomiran lati je anfaani","To ba ya won ma sope won ko ri alanu, bawo ni eniyan mase dagba lai ni opolo bio ti wun ko kere mo, won ko ma wuwa ti o ma se idina fun elomiran lati je anfaani","non-sarcastic","X","original"
"267","Tí èèyàn kò bá lówó lọ́wọ́, kí o gbìyànjú láti máa ṣe ìgbéraga","Ti eeyan ko ba lowo lowo, ki o gbiyanju lati maa se igberaga","Tí èèyàn kò ba lówó lówọ́, kí o gbìyanjú láti máa ṣe ìgbéraga","Tí èèyàn ko bá lówó lọwọ, kí o gbìyànjú lati maa se ìgbéraga","Ti èèyàn kò ba lowo lọwo, ki o gbiyanjú láti máa ṣe ìgberaga","sarcastic","Instagram","original"
"268","Bí ẹ o ṣe lówó lọ́wọ́ yẹn, o yẹ kẹ máa jalè ni","Bi e o se lowo lowo yen, o ye ke maa jale ni","Bí ẹ o ṣe lówó lówọ yẹn, o yẹ kẹ maa jale ni","Bi ẹ o se lówo lọ́wọ yẹn, o yẹ kẹ máa jalè ni","Bí ẹ o se lowo lówọ yen, o yẹ ke máa jale ni","sarcastic","Instagram","original"
"269","Oloyinbo ni '99 days for the thief, 1 day for the owner'. Ẹ o jalè fún 98 days, tó bá ti di 99th day, kí ẹ jáwọ́","Oloyinbo ni '99 days for the thief, 1 day for the owner'. E o jale fun 98 days, to ba ti di 99th day, ki e jawo","Oloyinbo ni '99 days for the thief, 1 day for the owner'. Ẹ o jalè fún 98 days, tó bá ti di 99th day, kí ẹ jawọ","Oloyinbo ni '99 days for the thief, 1 day for the owner'. Ẹ o jale fun 98 days, tó ba ti di 99th day, kí ẹ jáwọ","Oloyinbo ni '99 days for the thief, 1 day for the owner'. E o jale fun 98 days, to ba ti di 99th day, ki e jáwọ́","sarcastic","Instagram","original"
"270","Bí o ba jalè, Ọlọ́run yóò fi mú àwọn ọ̀rẹ́ẹ̀ rẹ tí wọn kò ṣàánú rẹ ni, nítorí òó ba orúkọ wọn jẹ́ ni.  Àwọn ènìyàn yóò sọ wípé ọ̀rẹ́ olè, olè lòun náà","Bi o ba jale, Olorun yoo fi mu awon oree re ti won ko saanu re ni, nitori oo ba oruko won je ni.  Awon eniyan yoo so wipe ore ole, ole loun naa","Bí o ba jale, Ọlọ́run yóo fi mu àwọn ọ̀rẹ́ẹ rẹ tí wọn kò saánú rẹ ni, nítorí òó ba orúkọ wọn jẹ ni.  Àwọn èniyàn yoò sọ wipé ọ̀re olè, ole lòun náà","Bí o ba jale, Ọlorun yóo fi mú awon òreè re tí wọn ko ṣàánu re ni, nítorí oó ba orúko wọn je ni.  Awon ènìyan yóò so wípé ọ̀rẹ́ olè, ole loun naà","Bí o ba jalè, Olorun yoo fi mú awon orée rẹ tí won kò saanú re ni, nítorí òó ba orúkọ wọn jẹ́ ni.  Àwon eniyan yoo so wipe òre ole, olè loun náa","sarcastic","Instagram","original"
"271","Tí o bá nta tẹ́tẹ́ lójoojúmọ́, tí o ti wá nsọ owó nù jù, kí o máa mú ọtí mọ́ọ ni.","Ti o ba nta tete lojoojumo, ti o ti wa nso owo nu ju, ki o maa mu oti moo ni.","Tí o bá nta tẹtẹ lójoojúmọ, ti o ti wa nsọ owo nu jù, kí o maa mú ọtí mọ́ọ ni.","Ti o bá nta tetẹ́ lójoojumọ, ti o ti wá nsọ owó nu ju, kí o maa mú otí mọọ ni.","Ti o ba nta tétẹ lojoojumo, ti o ti wa nso owo nù ju, ki o maa mu ọti moo ni.","sarcastic","Instagram","original"
"272","Tí o bá ti fẹẹ pé ọgbọn ọdún láyé tí o tíì pàdé eegun tiẹ, gbé eegun eléegun ni.","Ti o ba ti fee pe ogbon odun laye ti o tii pade eegun tie, gbe eegun eleegun ni.","Tí o ba ti fẹe pé ọgbon ọdun layé tí o tiì pàde eegun tiẹ, gbe eegun eléegun ni.","Tí o ba ti feẹ pe ogbon odún láye ti o tíi pàde eegun tie, gbe eegun eleegun ni.","Ti o ba ti fee pé ogbon odun láye tí o tíi pàdé eegun tie, gbe eegun eléegun ni.","sarcastic","Instagram","original"
"273","Nítorí Regina Daniels n mu igbó, kò túmọ̀ wípé ọmọ burúkú ni. Ó le jẹ́ igbó tí o n mu yi ni àwọn èèyàn a fi máa bọ̀wọ̀ fún ọkọ rẹ̀.","Nitori Regina Daniels n mu igbo, ko tumo wipe omo buruku ni. O le je igbo ti o n mu yi ni awon eeyan a fi maa bowo fun oko re.","Nítorí Regina Daniels n mu igbo, kò tumò wípé ọmọ burúku ni. O le jẹ igbó ti o n mu yi ni àwọn eèyàn a fi máa bọ̀wọ̀ fún okọ re.","Nítori Regina Daniels n mu igbo, kò tumo wípé omọ burukú ni. Ó le jé igbo ti o n mu yi ni awọn eèyàn a fi máa bòwọ fún okọ rẹ.","Nitori Regina Daniels n mu igbó, kò tumo wípé omo buruku ni. O le je igbó tí o n mu yi ni awon eèyan a fi maa bowò fún ọkọ re.","sarcastic","Instagram","original"
"274","Ẹ káre láí, Bùọ̀dá gbọ́mọgbọ́mọ😒","E kare lai, Buoda gbomogbomo😒","Ẹ kare laí, Buọ̀dá gbọmogbómọ😒","E kare lái, Buòda gbọmogbọmo😒","E kare lai, Buoda gbomogbomọ😒","sarcastic","Instagram","original"
"275","Olókó dógidógi, káre!","Oloko dogidogi, kare!","Olóko dogidógi, kare!","Olókó dogidógi, káre!","Olóko dogidógi, kare!","sarcastic","Instagram","original"
"276","Wọn kò lè mu yín tí ẹ ba n jalè, ẹ ó fi ọpọlọ ja olè náà ni.","Won ko le mu yin ti e ba n jale, e o fi opolo ja ole naa ni.","Wọn kò lè mu yín tí ẹ ba n jalè, ẹ ó fi ọpọlọ ja olè náà ni.","Won ko le mu yin tí ẹ ba n jalè, ẹ ó fi opolo ja olè náa ni.","Won kò le mu yin ti e ba n jale, e ó fi ọpolọ ja ole naà ni.","sarcastic","Instagram","original"
"277","Bí wọ́n ṣe dájọ́ fún yín wípé ẹ máa kú ní ọjọ́ méje, ẹ yà wọ́n lẹ́nu kí ẹ kú kí ó tó di ọjọ́ méje","Bi won se dajo fun yin wipe e maa ku ni ojo meje, e ya won lenu ki e ku ki o to di ojo meje","Bi wọ́n se dájó fún yín wípé ẹ máa kú ni ojo méje, ẹ yà wọ́n lénu kí ẹ kú kí ó tó di ojọ méje","Bí won se dajó fún yin wipé e máa ku ni ojó méje, ẹ ya wọ́n lẹ́nu kí ẹ ku ki ó tó di ojo meje","Bi won se dajo fun yin wipe ẹ maa ku ní ojo meje, e ya won lénu ki ẹ kú kí ó to di ojọ meje","sarcastic","Instagram","original"
"278","Tí ẹnikẹ́ni bá ní kí o má mú igbó, má ṣe dá wọn lóhùn o. Àbí kí lo fẹ́ẹ máa fi pa ìrònú rẹ? Ó kàn lè yà ẹ́ ní wèrè ni.","Ti enikeni ba ni ki o ma mu igbo, ma se da won lohun o. Abi ki lo fee maa fi pa ironu re? O kan le ya e ni were ni.","Ti ẹnikẹ́ni bá ní ki o má mú igbo, má ṣe dá won lóhùn o. Abi kí lo fẹ́ẹ maa fi pa ìrònú re? Ó kàn lè yà ẹ́ ní wèrè ni.","Tí enikeni bá ní kí o ma mú igbó, ma ṣe da wọn lohùn o. Àbí kí lo feẹ maa fi pa ìrònu re? O kan lè yà e ni wère ni.","Ti enikéni ba ni ki o ma mu igbo, ma ṣe da won lohùn o. Àbi ki lo fee maa fi pa ironu re? O kan lè ya ẹ́ ni were ni.","sarcastic","Instagram","original"
"279","Oriogbade FC ti wá yarí kanlẹ̀ báyìí o. Kí ló ń ṣẹlẹ̀ gan-an gan-an ná ní pápá ìṣeré Emirates?","Oriogbade FC ti wa yari kanle bayii o. Ki lo n sele gan-an gan-an na ni papa isere Emirates?","Oriogbade FC ti wá yarí kanlẹ̀ báyií o. Kí ló n sẹlẹ̀ gan-an gan-an ná ní papá iṣeré Emirates?","Oriogbade FC ti wá yarí kanlè bayií o. Kí lo ń selẹ gan-an gan-an na ní pápá isere Emirates?","Oriogbade FC ti wá yari kanlẹ bayii o. Ki lo n selẹ gan-an gan-an na ni pápá ìsere Emirates?","sarcastic","BBC News","original"
"280","Ọmọ tí yòó bá jẹ́ àṣàmú, kékeré ni yòó ti maa ṣẹnu ṣámú-ṣámú. Bùkáyọ̀ Saka, Oriogbade ooo","Omo ti yoo ba je asamu, kekere ni yoo ti maa senu samu-samu. Bukayo Saka, Oriogbade ooo","Ọmo tí yoó bá jẹ́ àṣamu, kekeré ni yoó ti maa ṣenu ṣámú-ṣámu. Bukáyọ̀ Saka, Oriogbade ooo","Omọ ti yoó ba jẹ́ aṣàmú, kékeré ni yoo ti maa senu samu-sámú. Bukáyọ̀ Saka, Oriogbade ooo","Omo ti yòo ba je aṣamú, kékere ni yòo ti maa sẹnu sámu-ṣamu. Bukáyo Saka, Oriogbade ooo","non-sarcastic","BBC News","original"
"281","Gbajúgbajà akọrin Afro beat, Seun Kuti, ní àìmọ̀kan ló jẹ́ káwọn olólùfẹ́ Wizkid máa fi Wizkid wé Abami Ẹda.","Gbajugbaja akorin Afro beat, Seun Kuti, ni aimokan lo je kawon ololufe Wizkid maa fi Wizkid we Abami Eda.","Gbajúgbajà akorin Afro beat, Seun Kuti, ní àìmọ̀kan lo jẹ́ káwọn olólùfé Wizkid maa fi Wizkid wé Abami Ẹda.","Gbajúgbajà akọrin Afro beat, Seun Kuti, ní aìmọ̀kan ló jẹ́ kawọn olólufé Wizkid máa fi Wizkid wé Abami Ẹda.","Gbajúgbaja akorin Afro beat, Seun Kuti, ni aimokan ló je kawon ololufẹ́ Wizkid maa fi Wizkid we Abami Eda.","non-sarcastic","BBC News","original"
"282","Arsenal, Oriogbade FC, ṣìrìn nílé Aston Villa, àánú ikúnlẹ̀ abiyamọ ṣe wá nígbà tí ìfesewọnsệ parí","Arsenal, Oriogbade FC, sirin nile Aston Villa, aanu ikunle abiyamo se wa nigba ti ifesewonse pari","Arsenal, Oriogbade FC, ṣìrìn nílé Aston Villa, àánú ikúnlẹ̀ abiyamọ ṣe wa nígbà tí ifesewọnsê parí","Arsenal, Oriogbade FC, ṣirìn níle Aston Villa, aanu ikúnlẹ̀ abiyamọ se wa nigba tí ifesewọnsệ pari","Arsenal, Oriogbade FC, sirin nile Aston Villa, aánu ikunlẹ̀ abiyamo ṣe wá nigba ti ifesewonse pari","sarcastic","BBC News","original"
"283","Àmọ̀rí kọ́ ni ìṣòro ẹgbẹ́ agbábọ́ọ̀lù Manchester United. Ẹ̀san òjóóró tí wọ́n ṣe nígbà tí Alex Ferguson jẹ́ Kóòsì wọn ló ń ké lórí wọn. Bí wọ́n ò bá múra, wọ́n máa religéètì gbẹ̀yìn..","Amori ko ni isoro egbe agbaboolu Manchester United. Esan ojooro ti won se nigba ti Alex Ferguson je Koosi won lo n ke lori won. Bi won o ba mura, won maa religeeti gbeyin..","Àmọ̀rí kọ́ ni isòro ẹgbẹ́ agbábọ́òlù Manchester United. Èsan òjoóró ti wọn ṣe nigbà tí Alex Ferguson jẹ́ Kóosì won ló ń ké lórí wọn. Bi wọ́n ò bá múra, wón máa religéètì gbèyìn..","Àmòrí kọ ni ìsoro egbé agbabóọ̀lu Manchester United. Esan ojoóro tí wọn se nigba tí Alex Ferguson je Koosì won lo ń ké lórí won. Bí wọn o bá mura, wọn maa religéetì gbeyin..","Amorí ko ni isòro egbe agbáboòlu Manchester United. Èsan ojóóró tí wón se nígbà ti Alex Ferguson jẹ Koosì won ló n ke lorí won. Bi wón ò ba mura, won máa religeetì gbeyìn..","sarcastic","Facebook","original"
"284","Ṣé ọ̀rọ̀ yìí kò ti di ẹni a lè mú làá lẹ̀dí mọ́ báyìí? Níbo ni Arsenal, Oriogbade, fi gbogbo góòlù yìí sí nígbà tí wọ́n kojú Liverpool?","Se oro yii ko ti di eni a le mu laa ledi mo bayii? Nibo ni Arsenal, Oriogbade, fi gbogbo goolu yii si nigba ti won koju Liverpool?","Ṣé òrò yìí kò ti di eni a lè mu làá lèdí mọ báyìí? Níbo ni Arsenal, Oriogbade, fi gbogbo goòlù yìí sí nígbà tí wón kojú Liverpool?","Ṣe òrọ̀ yìi ko ti di eni a lè mu làá lẹdí mọ́ báyìi? Nibo ni Arsenal, Oriogbade, fi gbogbo goòlu yií si nigba ti won koju Liverpool?","Ṣé ọrọ yìi ko ti di eni a le mú laa ledi mo bayìi? Nibo ni Arsenal, Oriogbade, fi gbogbo góolu yii si nigba ti won kojú Liverpool?","sarcastic","BBC News","original"
"285","Bí olóde kò bá kú, ojúde rẹ̀ kìí hu gbẹ́gi - ẹ̀yà koríko kan.","Bi olode ko ba ku, ojude re kii hu gbegi - eya koriko kan.","Bí olóde ko bá ku, ojúde rẹ̀ kìí hu gbẹ́gi - eyà koriko kan.","Bi olode ko ba kú, ojude rẹ̀ kìí hu gbẹgi - ẹya koriko kan.","Bi olode ko ba ku, ojúde rẹ kii hu gbégi - eyà koriko kan.","non-sarcastic","BBC News","original"
"286","Ríru omi òkun, kò ní kí ẹja má sùn, kò ní kí ẹja má han oorun. Bí omi òkun ṣe ń ru tó, èyí kò di ẹja lọ́wọ́ oorun","Riru omi okun, ko ni ki eja ma sun, ko ni ki eja ma han oorun. Bi omi okun se n ru to, eyi ko di eja lowo oorun","Ríru omi òkun, kò ní ki ẹja ma sùn, kò ní kí ẹja ma han oorun. Bí omi okun ṣe ń ru tó, èyí kò di eja lọwó oorun","Ríru omi okun, kò ni ki eja má sun, kò ní ki eja má han oorun. Bí omi okun ṣe n ru tó, èyí kò di ẹja lówo oorun","Riru omi òkun, ko ni ki eja ma sun, ko ni ki eja ma han oorun. Bi omi okun ṣe n ru tó, eyi kò di eja lówó oorun","non-sarcastic","BBC News","original"
"287","Ọmọdé tó bá mọ ọwọ́ wẹ̀, yóò bá àgbà jẹun.","Omode to ba mo owo we, yoo ba agba jeun.","Ọmọdé to bá mo ọwọ wẹ, yóo bá àgbà jeun.","Ọmode to ba mọ ọwó wẹ, yóò ba àgba jẹun.","Ọmode tó bá mo owo wè, yoo ba àgba jeun.","non-sarcastic","BBC News","original"
"288","Arsenal gbẹ̀san ìyà tí Aston Villa fi jẹ wọ́n lára Club Brugge tí kò mọwọ́ mẹsè.😀","Arsenal gbesan iya ti Aston Villa fi je won lara Club Brugge ti ko mowo mese.😀","Arsenal gbẹ̀san ìyà tí Aston Villa fi jẹ wọn lara Club Brugge tí kò mowo mẹse.😀","Arsenal gbesan iyà ti Aston Villa fi je won lára Club Brugge ti ko mowọ́ mese.😀","Arsenal gbesan iyà ti Aston Villa fi jẹ wón lára Club Brugge ti ko mowọ mese.😀","sarcastic","BBC News","original"
"289","Àgbà òǹkọ̀wé Nàìjíríà, Wole Soyinka ní àwọn ọmọ ogun ilẹ̀ àti òfurufú tí Ààrẹ Tinubu rán lọ sí orílẹ̀ èdè Benin kọ́ ló yẹ kó rán, pé Seyi Tinubu lásán ti tó.","Agba onkowe Naijiria, Wole Soyinka ni awon omo ogun ile ati ofurufu ti Aare Tinubu ran lo si orile ede Benin ko lo ye ko ran, pe Seyi Tinubu lasan ti to.","Agbà oǹkọ̀wé Naìjiría, Wole Soyinka ní àwọn omọ ogun ile ati òfurufú tí Àare Tinubu rán lọ sí orílẹ̀ edè Benin kó ló yẹ ko rán, pé Seyi Tinubu lasán ti tó.","Àgba òǹkòwe Naijíria, Wole Soyinka ni àwon omo ogun ilè àti òfurufu ti Ààre Tinubu rán lọ si orilẹ ède Benin kọ ló yẹ ko rán, pé Seyi Tinubu lasan ti tó.","Agbà oǹkowe Naijiría, Wole Soyinka ni awon omo ogun ilẹ ati ofurufu tí Aare Tinubu ran lo si orilè ède Benin ko lo ye ko ran, pé Seyi Tinubu lásan ti to.","sarcastic","BBC News","original"
"290","Ẹ̀yin ti Chelsea, ṣé ẹ fẹ́ pa orúkọ dá sí Anakaye FC ni?","Eyin ti Chelsea, se e fe pa oruko da si Anakaye FC ni?","Ẹyin ti Chelsea, ṣé ẹ fe pa orúkọ da sí Anakaye FC ni?","Èyin ti Chelsea, sé ẹ fẹ pa oruko da sí Anakaye FC ni?","Èyin ti Chelsea, se e fe pa oruko da si Anakaye FC ni?","sarcastic","BBC News","original"
"291","Sheikh Gumi ní káàkiri àgbáyé ni wọ́n ti máa ń bá àwọn agbébọn jíròrò láti dènà ìtàjẹ̀sílẹ̀.","Sheikh Gumi ni kaakiri agbaye ni won ti maa n ba awon agbebon jiroro lati dena itajesile.","Sheikh Gumi ni káàkiri àgbayé ni won ti máa ń bá àwọn agbébọn jíròrò lati dènà ìtajẹsílẹ̀.","Sheikh Gumi ní káàkiri àgbaye ni wọn ti máa n ba àwon agbebọn jírorò láti dènà ìtajẹsile.","Sheikh Gumi ni káakiri àgbáye ni wón ti maa ń ba awon agbebon jiroro lati dènà ìtajesílè.","non-sarcastic","BBC News","original"
"292","Leeds United ló kọ́kọ́ dá ṣèríà fún Chelsea, kí Atalanta tó f'ọba leè ní ìdíje UEFA Champions League.","Leeds United lo koko da seria fun Chelsea, ki Atalanta to f'oba lee ni idije UEFA Champions League.","Leeds United ló kọ́kọ dá ṣèríà fun Chelsea, kí Atalanta tó f'ọba leè ní idíje UEFA Champions League.","Leeds United ló kọko da ṣèria fun Chelsea, kí Atalanta to f'ọba lee ní ìdije UEFA Champions League.","Leeds United ló kọkọ dá seria fún Chelsea, ki Atalanta to f'ọba lee ni idíje UEFA Champions League.","sarcastic","BBC News","original"
"293","Olúwa tó yí orúkọ Ábráhámù àti Jákọ́bù padà, yi o báwa yí orúkọ Arsenal tí 'BBC News Yoruba' ti sọ di 'Oriogbade' padà sí 'Oriade' 🙏","Oluwa to yi oruko Abrahamu ati Jakobu pada, yi o bawa yi oruko Arsenal ti 'BBC News Yoruba' ti so di 'Oriogbade' pada si 'Oriade' 🙏","Olúwa tó yí orúko Ábráhámù àti Jákọbu padà, yi o báwa yi orukọ Arsenal ti 'BBC News Yoruba' ti sọ di 'Oriogbade' pada sí 'Oriade' 🙏","Oluwa tó yí orúkọ Ábrahamu ati Jákọ́bù padà, yi o báwa yi orúkọ Arsenal ti 'BBC News Yoruba' ti so di 'Oriogbade' padà sí 'Oriade' 🙏","Oluwa to yi oruko Abrahamu ati Jakọ́bu pada, yi o bawa yi oruko Arsenal ti 'BBC News Yoruba' ti so di 'Oriogbade' pada si 'Oriade' 🙏","sarcastic","Facebook","original"
"294","Ayé ò! Atalanta lagi mọ́ Chelsea lórí láwọlé sùn, fa aṣọ iyì ya mọ́ Aníyìkáyé FC lára.","Aye o! Atalanta lagi mo Chelsea lori lawole sun, fa aso iyi ya mo Aniyikaye FC lara.","Ayé ò! Atalanta lagi mọ́ Chelsea lórí lawọlé sùn, fa aṣọ iyì ya mọ́ Aniyikáyé FC lára.","Ayé o! Atalanta lagi mọ Chelsea lori lawọlé sun, fa aso iyì ya mọ Aníyìkaye FC lára.","Aye ò! Atalanta lagi mo Chelsea lorí lawole sun, fa aso iyi ya mo Aniyìkayé FC lára.","sarcastic","BBC News","original"
"295","Seyi Tinubu ló yẹ kí Aàre rán lọ ṣe ìdádúró ìdìtẹ̀gbàjọba ní orílè-èdè Benin nítorí àwọn ẹ̀ṣọ́ ààbò tó máa n tẹ̀lẹ kò níye.","Seyi Tinubu lo ye ki Aare ran lo se idaduro iditegbajoba ni orile-ede Benin nitori awon eso aabo to maa n tele ko niye.","Seyi Tinubu ló yẹ kí Aàre ran lọ ṣe ìdádúró ìdìtẹ̀gbajoba ní orílè-èdè Benin nítori àwọn ẹ̀ṣọ aàbò tó maa n tẹ̀le kò niye.","Seyi Tinubu lo yẹ kí Aare rán lo ṣe ìdádúro ìdìtẹ̀gbajọba ní oríle-èdè Benin nitori àwon eṣó ààbò to maa n tẹlẹ ko níye.","Seyi Tinubu lo ye kí Aare ran lọ se ìdaduro idìtegbàjọba ni orile-ede Benin nítori awon eso àabo tó máa n tèle kò niye.","sarcastic","BBC News","original"
"296","Wọ́n npe ibìkan ní Ìyágànkú ní Ìbàdàn. Ilé Manchester United nìyẹn, nítorí ìyá ti gan kú síwọn lára","Won npe ibikan ni Iyaganku ni Ibadan. Ile Manchester United niyen, nitori iya ti gan ku siwon lara","Won npe ibìkan ni Ìyágànkú ní Ìbàdàn. Ilé Manchester United nìyẹn, nítorí ìyá ti gan ku síwọn lára","Wọn npe ibìkan ni Ìyaganku ní Ìbàdan. Ilé Manchester United nìyẹn, nítorí iya ti gan kú siwon lara","Won npe ibikan ni Iyaganku ni Ibadàn. Ile Manchester United niyen, nitori ìya ti gan ku siwọn lara","sarcastic","Facebook","original"
"297","Ọlọ́tẹ̀ ni BBC Yorùbá, nítorí Man City tó kó mẹ́wàá fúnyàn lánàá, níbo ní àwọ́n kò góòlù tiwọn sí nígbà tí wọ́n kojúú Brighton","Olote ni BBC Yoruba, nitori Man City to ko mewaa funyan lanaa, nibo ni awon ko goolu tiwon si nigba ti won kojuu Brighton","Olóte ni BBC Yorùba, nítorí Man City tó kó mẹwàá fúnyàn lánaa, níbo ní àwọ́n kò góòlù tiwọn sí nígbà tí wón kojúu Brighton","Ọlotè ni BBC Yorubá, nítori Man City to ko mẹ́wàa fúnyan lánàá, nibo ní àwon ko goolu tiwọn si nigbà ti won kojúú Brighton","Ọlotẹ ni BBC Yoruba, nítorí Man City to ko méwaa fúnyan lanaa, nibo ni awon kò goolu tiwon si nigba ti won kojúu Brighton","sarcastic","Facebook","original"
"298","Ìgbájú ìgbámú ni kẹríkẹrì bá tòdee bọ̀, Manchester United, ọwọ́ ba kórópọ̀n yín méjèèjì.","Igbaju igbamu ni kerikeri ba todee bo, Manchester United, owo ba koropon yin mejeeji.","Ìgbájú igbámú ni keríkẹrì bá tòdee bò, Manchester United, owọ ba kórópọ̀n yín mejeèji.","Igbaju igbamu ni kerikeri bá todee bo, Manchester United, ọwọ ba korópon yin mejèejì.","Ìgbaju ìgbámú ni kẹrikẹri ba tòdee bo, Manchester United, owó ba kórópon yin mejeèji.","sarcastic","BBC News","original"
"299","Báyé bá njáyé, bí Paul Biya bá ṣì wà lórí oyè ni Cameroon, ọ̀rọ̀ bí ìyà bí ìyà kò tíì lè tán nínú ayé Manchester United","Baye ba njaye, bi Paul Biya ba si wa lori oye ni Cameroon, oro bi iya bi iya ko tii le tan ninu aye Manchester United","Báye bá njáyé, bi Paul Biya bá ṣì wa lórí oyè ni Cameroon, ọ̀rò bí iya bí ìya kò tíi lè tan nínú ayé Manchester United","Báye bá njáye, bi Paul Biya bá sì wà lori oye ni Cameroon, ọrò bi iya bí iya kò tiì le tan ninú ayé Manchester United","Baye ba njayé, bi Paul Biya ba si wa lori oye ni Cameroon, oro bí ìyà bi iyà ko tii le tan ninu aye Manchester United","sarcastic","BBC News","original"
"300","Òjò ẹ̀sín àti ìyà tún rọ̀ lé Anfaani Adugbo, ìyẹn Manchester United, lórí lẹ́yìn tí wọ́n lè Amori lọ","Ojo esin ati iya tun ro le Anfaani Adugbo, iyen Manchester United, lori leyin ti won le Amori lo","Òjò ẹ̀sín àti ìyà tún rò lé Anfaani Adugbo, iyen Manchester United, lóri lẹyìn ti wón lè Amori lọ","Ojo esin ati iya tun ro le Anfaani Adugbo, iyen Manchester United, lórí lẹyin tí wọ́n le Amori lo","Ojo ẹsin ati iya tún rọ̀ le Anfaani Adugbo, iyen Manchester United, lóri leyin ti won le Amori lo","sarcastic","BBC News","original"
"301","Arsenal, Oriogbade FC, ṣìrìn nílé Aston Villa, àánú ìkúnlẹ́ abiyamọ ṣe wá nígbà tí ìfẹsẹ̀wọnsẹ̀ parí","Arsenal, Oriogbade FC, sirin nile Aston Villa, aanu ikunle abiyamo se wa nigba ti ifesewonse pari","Arsenal, Oriogbade FC, ṣirin nilé Aston Villa, àánú ìkunlé abiyamọ se wá nígba ti ìfẹsẹ̀wọnsè parí","Arsenal, Oriogbade FC, sirìn níle Aston Villa, àánú ìkunlẹ́ abiyamo se wa nigbà ti ìfẹsẹwonsè pari","Arsenal, Oriogbade FC, ṣirin nilé Aston Villa, aanu ikunle abiyamọ se wa nigba ti ìfesewọnse pari","sarcastic","BBC News","original"
"302","Eré orí igi ló bá dé fún Erinlákátabú FC, iyen Arsenal, lẹ́yìn tí wọ́n kó igi bo orí Burnley.","Ere ori igi lo ba de fun Erinlakatabu FC, iyen Arsenal, leyin ti won ko igi bo ori Burnley.","Eré ori igi ló ba de fún Erinlákátabu FC, iyen Arsenal, léyìn tí wọ́n kó igi bo orí Burnley.","Ere orí igi lo bá dé fun Erinlakátabú FC, iyen Arsenal, léyin tí won ko igi bo orí Burnley.","Ere ori igi lo ba de fún Erinlakátabu FC, iyen Arsenal, léyin ti wọn kó igi bo ori Burnley.","sarcastic","BBC News","original"
